sweep_setting,reference,method,metric,n,interval_available,mean_method_minus_reference,ci_low,ci_high,method_win_rate,reference_win_rate,tie_rate
members=10.0,adaptive_ridge,validation_best_member,rmse,30,true,0.18078819107851246,0.14465610598746995,0.21692027616955498,0.0,1.0,0.0
members=15.0,adaptive_ridge,static_ridge,rmse,30,true,-0.011594479576462724,-0.014539296257307039,-0.00864966289561841,0.8666666666666667,0.13333333333333333,0.0
members=15.0,adaptive_ridge,rls,rmse,30,true,-0.022096914207199097,-0.024483198662035643,-0.01971062975236255,1.0,0.0,0.0
members=15.0,adaptive_ridge,hedge,rmse,30,true,0.043428220701730726,0.030570558773263534,0.05628588263019792,0.03333333333333333,0.9666666666666667,0.0
members=15.0,adaptive_ridge,exp3,rmse,30,true,0.30263671037487927,0.27915782581600923,0.3261155949337493,0.0,1.0,0.0
members=15.0,adaptive_ridge,fixed_share,rmse,30,true,0.025181839668285553,0.012177749979223888,0.038185929357347215,0.26666666666666666,0.7333333333333333,0.0
members=15.0,adaptive_ridge,passive_aggressive,rmse,30,true,-0.014730624564136596,-0.01689694207087949,-0.012564307057393701,1.0,0.0,0.0
members=15.0,adaptive_ridge,ensemble_mean,rmse,30,true,0.07195260752472753,0.053037727856955846,0.09086748719249921,0.0,1.0,0.0
members=15.0,adaptive_ridge,oracle_best_member,rmse,30,true,0.1535759952705658,0.12190303372849548,0.18524895681263615,0.03333333333333333,0.9666666666666667,0.0
members=15.0,adaptive_ridge,validation_best_member,rmse,30,true,0.16476833616437758,0.13177438377594924,0.19776228855280592,0.03333333333333333,0.9666666666666667,0.0
members=25.0,adaptive_ridge,static_ridge,rmse,30,true,-0.024851903407480076,-0.029052140298830867,-0.020651666516129284,1.0,0.0,0.0
members=25.0,adaptive_ridge,rls,rmse,30,true,-0.03327476838308419,-0.03711184454931664,-0.02943769221685175,1.0,0.0,0.0
members=25.0,adaptive_ridge,hedge,rmse,30,true,0.012889458935691536,0.0031832421539266607,0.02259567571745641,0.4666666666666667,0.5333333333333333,0.0
members=25.0,adaptive_ridge,exp3,rmse,30,true,0.33096498817095393,0.3132230060815041,0.34870697026040376,0.0,1.0,0.0
members=25.0,adaptive_ridge,fixed_share,rmse,30,true,-0.0013642886010488834,-0.010221029699481847,0.007492452497384081,0.6333333333333333,0.36666666666666664,0.0
members=25.0,adaptive_ridge,passive_aggressive,rmse,30,true,-0.024459317457673102,-0.02725738597717202,-0.021661248938174185,1.0,0.0,0.0
members=25.0,adaptive_ridge,ensemble_mean,rmse,30,true,0.03864247214409447,0.021383579282536865,0.05590136500565207,0.26666666666666666,0.7333333333333333,0.0
members=25.0,adaptive_ridge,oracle_best_member,rmse,30,true,0.1100923023282622,0.08351550215895895,0.13666910249756545,0.06666666666666667,0.9333333333333333,0.0
members=25.0,adaptive_ridge,validation_best_member,rmse,30,true,0.13677040051034425,0.10380569391402406,0.16973510710666445,0.06666666666666667,0.9333333333333333,0.0
members=50.0,adaptive_ridge,static_ridge,rmse,30,true,-0.0377994407476795,-0.04052808775456271,-0.03507079374079629,1.0,0.0,0.0
members=50.0,adaptive_ridge,rls,rmse,30,true,-0.04113865474398429,-0.04420044646592977,-0.038076863022038804,1.0,0.0,0.0
members=50.0,adaptive_ridge,hedge,rmse,30,true,-0.009486558195603494,-0.016245343886148865,-0.0027277725050581245,0.8333333333333334,0.16666666666666666,0.0
members=50.0,adaptive_ridge,exp3,rmse,30,true,0.39486937061231925,0.38109292891308943,0.40864581231154906,0.0,1.0,0.0
members=50.0,adaptive_ridge,fixed_share,rmse,30,true,-0.021305236874497153,-0.02555878548928817,-0.017051688259706137,0.9333333333333333,0.06666666666666667,0.0
members=50.0,adaptive_ridge,passive_aggressive,rmse,30,true,-0.030288410492045052,-0.032297505850703546,-0.02827931513338656,1.0,0.0,0.0
members=50.0,adaptive_ridge,ensemble_mean,rmse,30,true,0.005147219516696043,-0.00525886682988329,0.015553305863275376,0.5666666666666667,0.43333333333333335,0.0
members=50.0,adaptive_ridge,oracle_best_member,rmse,30,true,0.08184902289897944,0.061641997875196974,0.1020560479227619,0.06666666666666667,0.9333333333333333,0.0
members=50.0,adaptive_ridge,validation_best_member,rmse,30,true,0.09882845187685091,0.07313648648665123,0.12452041726705058,0.03333333333333333,0.9666666666666667,0.0
drift=0.0,adaptive_ridge,static_ridge,rmse,30,true,-0.0037238344822539135,-0.004513277673445424,-0.002934391291062403,1.0,0.0,0.0
drift=0.0,adaptive_ridge,rls,rmse,30,true,-0.004362026467938032,-0.0061544103044287495,-0.002569642631447314,1.0,0.0,0.0
drift=0.0,adaptive_ridge,hedge,rmse,30,true,0.06280213724463156,0.04786794213870982,0.0777363323505533,0.0,1.0,0.0
drift=0.0,adaptive_ridge,exp3,rmse,30,true,0.17526613732017085,0.15747483140197943,0.19305744323836227,0.0,1.0,0.0
drift=0.0,adaptive_ridge,fixed_share,rmse,30,true,0.033886123820321815,0.025344511685046027,0.0424277359555976,0.0,1.0,0.0
drift=0.0,adaptive_ridge,passive_aggressive,rmse,30,true,0.0032959901511669786,0.0015546267946890749,0.005037353507644882,0.16666666666666666,0.8333333333333334,0.0
