Dataset,End_id,Rho,Rho_V,Past,Num_past,Val,Train_test_split,Method,MAE,MAPE,RMSE,R2,CVAR_05,CVAR_15
M3F1492,23,0.1,1.0,3.0,3.0,9.0,0.45,mean,1199.92873015873,25.027382246687964,1312.6665284620444,-4.932861492476608,0.0,0.0
M3F1492,23,0.1,1.0,3.0,3.0,9.0,0.45,bandits_full,688.1646585014955,13.786207680788047,875.9051880080235,-1.6416153780543694,0.0,0.0
M3F1492,23,0.1,1.0,3.0,3.0,9.0,0.45,bandits_recent,688.1082700422711,13.80831618547856,867.2431185708034,-1.5896263873913457,0.0,0.0
M3F1492,23,0.1,1.0,3.0,3.0,9.0,0.45,PA,648.9450818427401,15.011057796578866,759.1068507656623,-0.9840892701903625,0.0,0.0
M3F1492,23,0.1,1.0,3.0,3.0,9.0,0.45,ridge,655.5557698744874,15.175250775668811,740.7128238485299,-0.8891007218068743,0.0,0.0
M3F1492,23,0.1,1.0,3.0,3.0,9.0,0.45,adaptive_ridge_exact,1147.2412847303053,26.951561658725836,1442.9295096933258,-6.168786021910714,0.0,0.0
M3F1492,23,0.1,1.0,3.0,3.0,9.0,0.45,adaptive_ridge_standard,628.5261082572378,14.958079002272108,811.9586578205959,-1.2699862198850456,0.0,0.0
M3F1492,23,0.1,1.0,3.0,3.0,9.0,0.45,mean,1199.92873015873,25.027382246687964,1312.6665284620444,-4.932861492476608,0.0,0.0
M3F1492,23,0.1,1.0,3.0,3.0,9.0,0.45,bandits_full,688.1646585014955,13.786207680788047,875.9051880080235,-1.6416153780543694,0.0,0.0
M3F1492,23,0.1,1.0,3.0,3.0,9.0,0.45,bandits_recent,688.1082700422711,13.80831618547856,867.2431185708034,-1.5896263873913457,0.0,0.0
M3F1492,23,0.1,1.0,3.0,3.0,9.0,0.45,PA,648.9450818427401,15.011057796578866,759.1068507656623,-0.9840892701903625,0.0,0.0
M3F1492,23,0.1,1.0,3.0,3.0,9.0,0.45,ridge,655.5557698744874,15.175250775668811,740.7128238485299,-0.8891007218068743,0.0,0.0
M3F1492,23,0.1,1.0,3.0,3.0,9.0,0.45,adaptive_ridge_exact,1147.2412847303053,26.951561658725836,1442.9295096933258,-6.168786021910714,0.0,0.0
M3F1492,23,0.1,1.0,3.0,3.0,9.0,0.45,adaptive_ridge_standard,628.5261082572378,14.958079002272108,811.9586578205959,-1.2699862198850456,0.0,0.0
M3F1492,23,0.1,1.0,3.0,3.0,9.0,0.45,mean,1199.92873015873,25.027382246687964,1312.6665284620444,-4.932861492476608,0.0,0.0
M3F1492,23,0.1,1.0,3.0,3.0,9.0,0.45,bandits_full,688.1646585014955,13.786207680788047,875.9051880080235,-1.6416153780543694,0.0,0.0
M3F1492,23,0.1,1.0,3.0,3.0,9.0,0.45,bandits_recent,688.1082700422711,13.80831618547856,867.2431185708034,-1.5896263873913457,0.0,0.0
M3F1492,23,0.1,1.0,3.0,3.0,9.0,0.45,PA,648.9450818427401,15.011057796578866,759.1068507656623,-0.9840892701903625,0.0,0.0
M3F1492,23,0.1,1.0,3.0,3.0,9.0,0.45,ridge,655.5557698744874,15.175250775668811,740.7128238485299,-0.8891007218068743,0.0,0.0
M3F1492,23,0.1,1.0,3.0,3.0,9.0,0.45,adaptive_ridge_exact,1147.2412847303053,26.951561658725836,1442.9295096933258,-6.168786021910714,0.0,0.0
M3F1492,23,0.1,1.0,3.0,3.0,9.0,0.45,adaptive_ridge_standard,628.5261082572378,14.958079002272108,811.9586578205959,-1.2699862198850456,0.0,0.0
