regime,seed,tau,lambda,quadratic_validation_rmse,irls_norm_validation_rmse,exact_norm_validation_rmse,quadratic_vs_irls_prediction_max_abs,irls_vs_exact_prediction_max_abs,irls_vs_exact_prediction_relative_l2,quadratic_fit_seconds,irls_fit_seconds,exact_fit_seconds,quadratic_objective,irls_norm_objective,exact_norm_objective,irls_vs_exact_relative_objective,irls_iterations,irls_converged,irls_stationarity_residual,irls_relative_objective_change,irls_convergence_reason
gradual,2,1,0.01,0.14879577173121647,0.15269798594685968,0.15269741686740393,0.040854291178051616,5.384478939607362e-6,1.7172760786332335e-6,0.0005054,0.000996,0.559665,0.011548562777435717,2.499871766896899,2.4998717670093185,4.497006950528311e-11,3,true,2.0085853656676418e-9,1.5081865528363638e-11,strict_smoothed_stationarity
gradual,2,1,0.1,0.14113403348708772,0.14504341910887458,0.14504428384461437,0.11675734538345417,1.4029427170658693e-5,4.0400720082740175e-6,0.0005342,0.0015390999999999998,0.9658449,0.026940277659481447,3.476106275977846,3.476106276441806,1.3347117281457803e-10,5,true,2.9186416169241353e-8,2.089799997156596e-11,objective_and_practical_stationarity
gradual,2,3,0.001,0.18185821182001402,0.18299344715882668,0.18299270982476523,0.007847966561668862,5.633647951253096e-6,1.8806729721094113e-6,0.0022789,0.0040369,2.5349207000000002,0.008375562965815396,2.222247107597888,2.2222471076498933,2.3402217885525404e-11,2,true,5.604746871445567e-10,1.1845411893963194e-10,strict_smoothed_stationarity
gradual,2,3,0.01,0.17257929946722958,0.18068823665912173,0.18068873989544848,0.05983032553365497,3.935647105102191e-6,1.4070068569706497e-6,0.0019911,0.0050499,3.0565968,0.010348802306261654,2.328140077560703,2.3281400775936683,1.4159451337847479e-11,3,true,5.805488201863308e-9,1.2076229826732234e-10,strict_smoothed_stationarity
gradual,2,3,0.1,0.1504347512988942,0.16591097926075804,0.16591003071206326,0.15811913783020115,2.115134753255532e-5,6.3095119314044765e-6,0.0021091,0.007299,2.8803455000000002,0.026084900201397816,3.3359572729052376,3.335957273958637,3.157713073851116e-10,5,true,8.650854908332483e-8,1.7939064295397363e-10,objective_and_practical_stationarity
gradual,2,5,0.001,0.20333851223246316,0.20557121610905468,0.20557068743543658,0.016675751348137036,5.66441239235882e-6,1.975908724695006e-6,0.0297053,0.0114106,5.8657292,0.007421825485373046,2.085308845231532,2.0853088453004913,3.3069204558622715e-11,2,true,1.4507647598747183e-9,7.088786264807178e-10,strict_smoothed_stationarity
gradual,2,5,0.01,0.18792467324493908,0.20167446945574616,0.2016757615584528,0.10812822507470066,1.0853263401333635e-5,3.4437818189094744e-6,0.0210552,0.0145193,6.995788999999999,0.009564056148614627,2.1974967271153516,2.197496727233373,5.370728931530675e-11,3,true,2.0062919559579303e-8,1.3015864880202951e-9,objective_and_practical_stationarity
gradual,2,5,0.1,0.15773687080311494,0.17954526352156328,0.17954859694989195,0.19440723646336444,7.203558449653258e-5,1.952143867019093e-5,0.021326400000000002,0.024077099999999997,7.4987724,0.025608791618453836,3.2420660509115145,3.242066058357485,2.296674519521881e-9,6,true,2.737890296830638e-8,1.7167081613122945e-11,objective_and_practical_stationarity
gradual,3,1,0.001,0.0985933502680607,0.09863161365918596,0.09863161949916142,0.005821184770989363,5.025030309635525e-7,2.0422429642376156e-7,0.0004885,0.0009044,0.5821372,0.007518444223556274,2.0842604956696573,2.084260495672733,1.4757089499164428e-12,2,true,1.109132669295121e-9,5.773976532879473e-10,strict_smoothed_stationarity
gradual,3,1,0.01,0.09936362614905699,0.09858505190689239,0.09858504621910938,0.04930909600380362,1.6857419093407877e-6,6.719001132980693e-7,0.0005074000000000001,0.0009837000000000001,0.594423,0.010664805862522771,2.2204436463887856,2.2204436464104864,9.773210576009994e-12,3,true,1.6332248759940838e-8,1.1090195988985503e-9,objective_and_practical_stationarity
gradual,3,1,0.1,0.13030041594365493,0.10060194391657652,0.10060110880161512,0.2101115756575037,3.619930178078157e-5,1.487690511524298e-5,0.0005045,0.0016118,0.8013281,0.03191410119297007,3.497109547820903,3.497109565250656,4.984045501315907e-9,7,true,3.4141184899259014e-8,2.066391446821476e-11,objective_and_practical_stationarity
gradual,3,3,0.001,0.10872922913150573,0.10913235576553862,0.10913233737415277,0.012348995350613734,5.38783964776357e-7,2.0390739131509328e-7,0.0022039,0.0044084,2.4520603000000003,0.006585555889391878,1.9418879604760542,1.9418879604785908,1.3062739036902967e-12,2,true,1.7027022500086538e-9,1.4449214295438676e-9,strict_smoothed_stationarity
gradual,3,3,0.01,0.10742804545148482,0.10862695254448712,0.10862709084355256,0.07139806928038994,1.5647647334082748e-5,4.4042013933816396e-6,0.0256325,0.0050149,2.5293286,0.00980079047753641,2.0811713075067355,2.0811713082747265,3.690186392014899e-10,3,true,2.7911657011184652e-8,3.4502423903605006e-9,objective_and_practical_stationarity
gradual,3,3,0.1,0.13385900496400288,0.10776195967234513,0.10776114818967654,0.2530327910469933,1.8239397657882073e-5,6.722424643236101e-6,0.0020283000000000002,0.0096933,3.3689136,0.030831975628818578,3.373694747899113,3.3736947508228066,8.666147791963544e-10,7,true,5.853773230179749e-8,6.583790415239291e-11,objective_and_practical_stationarity
gradual,3,5,0.001,0.11425726948228392,0.11497465145273791,0.11497461427866111,0.015307512088304165,1.1896091363094996e-6,3.994695856692987e-7,0.008779499999999999,0.0430744,6.9362141,0.005927005712781854,1.8340476544119304,1.8340476544190405,3.876720584207855e-12,2,true,2.2956575774299663e-9,2.868794774210936e-9,strict_smoothed_stationarity
gradual,3,5,0.01,0.1126391645567898,0.1141469945702092,0.11414693306620384,0.07935668612974134,6.756348247760613e-6,2.6761559884874737e-6,0.0051847,0.0309734,7.183457199999999,0.009206997256527526,1.9762204222456785,1.9762204224544657,1.0564975818034695e-10,3,true,4.079417729022666e-8,8.027165404628388e-9,objective_and_practical_stationarity
gradual,3,5,0.1,0.1391324390773334,0.11312442570380045,0.11312426301497759,0.20655256891800478,5.420172634940101e-6,2.5305840926538784e-6,0.0053922,0.19360380000000002,7.671974199999999,0.03010727881130496,3.284461892672845,3.2844618928095057,4.160830884169295e-11,7,true,9.021565913635896e-8,1.684996363619459e-10,objective_and_practical_stationarity
gradual,4,1,0.001,0.21674413298143574,0.2169586355344584,0.21695873067213928,0.003659374734387044,1.7306957045271076e-6,5.705673530743033e-7,0.0005551,0.0008311,0.7165252,0.01621899785482758,3.1107847152743964,3.110784715285275,3.4969984361291707e-12,2,true,2.376285967946412e-10,1.0696423980321848e-11,strict_smoothed_stationarity
gradual,4,1,0.01,0.2145784863423068,0.21623681886379248,0.21623673036755395,0.029931532203392508,1.5823519043944856e-6,5.134780614610286e-7,0.0005437,0.0010454,0.8180780999999999,0.01801556640526021,3.210465311581034,3.210465311590211,2.8584963956536044e-12,3,true,1.8553697635709273e-9,6.39713926006893e-12,strict_smoothed_stationarity
gradual,4,1,0.1,0.20977214320083665,0.21176374805065862,0.21176404091319026,0.10456020752534134,5.4770889588162674e-6,2.094708507682158e-6,0.0007639000000000001,0.0017432,0.8325122,0.03332391622478572,4.170770568494157,4.170770568827543,7.993406640738769e-11,5,true,2.0034585743281215e-8,6.049996874471626e-12,objective_and_practical_stationarity
gradual,4,3,0.001,0.22160934370660568,0.222070144735569,0.22206990104953697,0.004796312865115615,4.531083299452732e-6,1.5796038528488755e-6,0.0019950999999999997,0.0049113,3.2713987999999996,0.013653104792410407,2.8491662741941726,2.849166274248078,1.891968367576797e-11,2,true,6.018976441668608e-10,7.008282021876865e-11,strict_smoothed_stationarity
