cvar_05,cvar_15,dataset,fit_seconds,lambda,linear_solver,mae,mape,mape_valid_fraction,max_abs_error,mean_error,median_abs_error,method,n,n_parameters,objective_variant,q95_abs_error,rmse,smape,solve_seconds,tau,wape,fit_and_test_seconds,diagnostic_only,oracle_member_index,oracle_standardized_rmse,selected_member_index,sweep,setting,seed
0.4432721861667335,0.35134760843496715,synthetic_gradual,0.0042018,0.0001,cholesky,0.14868089066132845,347.72237320213424,1.0,0.5887531875569466,0.06236890667648261,0.12373492033775951,adaptive_ridge,1000,48,quadratic,0.35842559421935644,0.18662062628436965,39.207935110266256,0.000222,5,23.4287288981139,,,,,,members,3.0,2
0.517176912311749,0.4226235808167024,synthetic_gradual,5.73e-5,0.01,,0.18183730124234923,220.87305488648087,1.0,0.7714583164632044,0.1273873756992768,0.1553195237301993,static_ridge,1000,,,0.43463165213916666,0.2272046953103972,48.23107267605397,,,28.653425570847368,,,,,,members,3.0,2
0.38855630168108013,0.29925329509839094,synthetic_gradual,,,,0.12264181966693677,272.2803760964403,1.0,0.5896045520755089,0.0027998670085721262,0.10111857565137194,rls,1000,,,0.30597771269689233,0.15577971963106968,34.66080205870283,,,19.325563169331918,0.0013976,,,,,members,3.0,2
0.4617785727010572,0.3786334021227663,synthetic_gradual,,,,0.16192368942390817,359.58532487505084,1.0,0.727168688180347,0.00877474859227045,0.13987891999172763,hedge,1000,,,0.3911081490969484,0.20196353534579112,42.475533688341265,,,25.515492978425243,0.0009245,,,,,members,3.0,2
0.6402204660727588,0.45178772228775915,synthetic_gradual,,,,0.1751241358274234,176.79694709235181,1.0,1.7517668000310875,0.06393463872278206,0.13978451648428275,exp3,1000,,,0.4208901232514917,0.2379248026105906,43.51462320694735,,,27.59558328960389,0.0009717,,,,,members,3.0,2
0.41893399308176826,0.3307610713550502,synthetic_gradual,,,,0.1391152293267719,253.1088045404281,1.0,0.581336309279535,0.04104231550458222,0.11718109172632823,fixed_share,1000,,,0.3403132092118919,0.17380229757433668,37.61558422996598,,,21.921398096276118,0.0011642,,,,,members,3.0,2
0.5546996425770542,0.4072849495312034,synthetic_gradual,,,,0.15365362961184695,230.5584676490118,1.0,0.9878703787244983,-0.0016196904929442623,0.1192940073159006,passive_aggressive,1000,,,0.4116397548237359,0.20486982798259584,36.844773401458795,,,24.212319527915607,0.0003844,,,,,members,3.0,2
0.5165856107030773,0.4253694044044782,synthetic_gradual,,,,0.18242644693093144,402.4276939814662,1.0,0.7605221828311821,-0.0012694740925617602,0.1599726470422874,ensemble_mean,1000,,,0.4358054258938569,0.22763554470295067,46.369798566657145,,,28.746261540270805,,,,,,members,3.0,2
0.47538559334166186,0.3867154766772042,synthetic_gradual,,,,0.16272200554677074,171.5525454039681,1.0,0.672771883528864,0.06070329282786495,0.13732072608808085,oracle_best_member,1000,,,0.3990523792395642,0.20338679306200474,41.71437123621185,,,25.641289453912762,,true,3,0.20338679306200474,,members,3.0,2
0.47538559334166186,0.3867154766772042,synthetic_gradual,,,,0.16272200554677074,171.5525454039681,1.0,0.672771883528864,0.06070329282786495,0.13732072608808085,validation_best_member,1000,,,0.3990523792395642,0.20338679306200474,41.71437123621185,,,25.641289453912762,,,,,3,members,3.0,2
