dataset,objective_variant,tau,lambda,validation_rmse,validation_mae,validation_cvar_05,fit_seconds,preparation_seconds,solve_seconds,condition_number,linear_solver,converged,iterations,residual_norm,relative_objective_change,stationarity_residual,convergence_reason,n_parameters
safi,quadratic_stacked,10,0.001,0.3526296787633326,0.2597418741517993,0.9682844656553241,0.16846899999999998,0.1478339,0.0206351,9.489860454535494e6,cholesky,true,0,1.3814357518488752e-14,NaN,NaN,,366
safi,quadratic_stacked,10,0.01,0.35889661296521164,0.26540609207643845,0.9739920979744051,0.17350549999999998,0.1478339,0.0256716,4.364670699822201e6,cholesky,true,0,7.963299244954259e-15,NaN,NaN,,366
safi,quadratic_stacked,10,0.1,0.38026475704596957,0.28541121292479893,1.0022083092017728,0.1671025,0.1478339,0.0192686,738579.2208720167,cholesky,true,0,3.0045129399401048e-15,NaN,NaN,,366
safi,quadratic_stacked,10,1.0,0.3862418243562335,0.2933525086993383,0.9999179422558897,0.16849139999999999,0.1478339,0.0206575,85687.46555676189,cholesky,true,0,1.4650403203608234e-15,NaN,NaN,,366
safi,quadratic_stacked,10,2.0,0.4085197525627928,0.31159935103589476,1.0430267026739979,0.3148563,0.1478339,0.1670224,46145.84998471589,cholesky,true,0,1.1593685307459625e-15,NaN,NaN,,366
safi,quadratic_stacked,15,0.0,0.356095222416206,0.26347988410341333,0.9729950647234831,0.19037579999999998,0.1355747,0.0548011,2.170034872783022e7,cholesky,true,0,2.2243110212407214e-14,NaN,NaN,,546
safi,quadratic_stacked,15,1.0e-6,0.3560950203404792,0.263480220089366,0.9729913175819621,0.1908935,0.1355747,0.0553188,2.1695261274651602e7,cholesky,true,0,2.199146759765149e-14,NaN,NaN,,546
safi,quadratic_stacked,15,0.0001,0.35608225511878566,0.2635188173547587,0.9726320838982854,0.3086858,0.1355747,0.1731111,2.1205260384753395e7,cholesky,true,0,2.1062591589486356e-14,NaN,NaN,,546
safi,quadratic_stacked,15,0.001,0.356383302779944,0.26409215113428786,0.9701330471655604,0.2500849,0.1355747,0.1145102,1.7700007707852144e7,cholesky,true,0,1.9209723167030468e-14,NaN,NaN,,546
safi,quadratic_stacked,15,0.01,0.3630950893565783,0.27128295955289294,0.9756370566230164,0.2178291,0.1355747,0.0822544,7.199049252541446e6,cholesky,true,0,1.2800265204811865e-14,NaN,NaN,,546
safi,quadratic_stacked,15,0.1,0.380668616161474,0.286897836244503,0.9995403265569143,0.2174006,0.1355747,0.0818259,1.1314881138472857e6,cholesky,true,0,4.225858789399656e-15,NaN,NaN,,546
safi,quadratic_stacked,15,1.0,0.3898304635824502,0.2967953999194309,0.998993630189388,0.20935189999999998,0.1355747,0.0737772,129951.46323480953,cholesky,true,0,1.80000494619275e-15,NaN,NaN,,546
safi,quadratic_stacked,15,2.0,0.415460566475666,0.31695655769116216,1.058047414428585,0.2064285,0.1355747,0.0708538,69949.53623359659,cholesky,true,0,1.604044397261162e-15,NaN,NaN,,546
safi,quadratic_stacked,25,0.0,0.3664840457847541,0.27259734778329414,0.9884827816823643,0.5958987,0.2978136,0.2980851,4.8465288328150354e7,cholesky,true,0,3.524862461529815e-14,NaN,NaN,,906
safi,quadratic_stacked,25,1.0e-6,0.3664813802196706,0.2725957183049487,0.988473277780136,0.5807499,0.2978136,0.2829363,4.844987002179204e7,cholesky,true,0,3.468415671932369e-14,NaN,NaN,,906
safi,quadratic_stacked,25,0.0001,0.36623712958211097,0.2724587699267073,0.987562106941992,0.5818006,0.2978136,0.283987,4.697722252555058e7,cholesky,true,0,3.261974633023779e-14,NaN,NaN,,906
safi,quadratic_stacked,25,0.001,0.3651257880735819,0.27198137793689026,0.9825250242623872,0.5835435,0.2978136,0.2857299,3.710202871694331e7,cholesky,true,0,2.928377139633421e-14,NaN,NaN,,906
safi,quadratic_stacked,25,0.01,0.3687125737823201,0.2757383636489794,0.9846708879733911,0.5820198000000001,0.2978136,0.2842062,1.314309593062656e7,cholesky,true,0,1.6028713303965948e-14,NaN,NaN,,906
safi,quadratic_stacked,25,0.1,0.38361662027296883,0.28849294332699243,1.0086346567020725,0.5822261,0.2978136,0.2844125,1.994240410481296e6,cholesky,true,0,5.249033779485038e-15,NaN,NaN,,906
safi,quadratic_stacked,25,1.0,0.39839392192810746,0.3014021457161241,1.0335043310887972,0.5808992,0.2978136,0.2830856,228146.4447229066,cholesky,true,0,2.7494890742290354e-15,NaN,NaN,,906
safi,quadratic_stacked,25,2.0,0.43070317566504074,0.3258789377898466,1.119762574382144,0.5951691,0.2978136,0.2973555,122628.65292234225,cholesky,true,0,2.628455009331946e-15,NaN,NaN,,906
