condition_number,fit_seconds,iterations,lambda,linear_solver,n_parameters,objective_variant,preparation_seconds,residual_norm,solve_seconds,tau,validation_cvar_05,validation_mae,validation_rmse,method,converged,convergence_reason,exact_fallback_used,relative_change,relative_objective_change,stationarity_residual,fit_and_validation_seconds,window,forgetting,ridge,eta,gamma,seed,share,C,epsilon,variance_forgetting,epochs,hidden,learning_rate,weight_decay,max_depth,min_leaf,n_trees
983019.8499359624,0.0099161,0,0.01,cholesky,114,quadratic_stacked_beta,0.0089476,2.023191304539584e-15,0.0009685,3,0.972955150017774,0.267237538294852,0.36037934538174915,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
186345.46808288977,0.0098812,0,0.1,cholesky,114,quadratic_stacked_beta,0.0089476,8.624747051759176e-16,0.0009336,3,0.9978192891443652,0.2870315681360989,0.3806011066919328,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
22050.83943243473,0.0099467,0,1.0,cholesky,114,quadratic_stacked_beta,0.0089476,7.608680956817947e-16,0.0009991,3,0.9968844047231039,0.2918278632685993,0.3849465686059257,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
11886.809767278464,0.0099608,0,2.0,cholesky,114,quadratic_stacked_beta,0.0089476,5.158877865014244e-16,0.0010132,3,1.0350073586240573,0.30704137752288074,0.4042406712425804,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
4.227974534755281e6,0.0383579,0,0.0,cholesky,186,quadratic_stacked_beta,0.035288,6.159235723294278e-15,0.0030699,5,0.960277705344394,0.2584152054629501,0.3520657111465429,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
4.227470135703112e6,0.0382806,0,1.0e-6,cholesky,186,quadratic_stacked_beta,0.035288,7.736969470440498e-15,0.0029926,5,0.9602768172210934,0.2584157439205082,0.3520661909936658,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
4.1782274172265646e6,0.0383587,0,0.0001,cholesky,186,quadratic_stacked_beta,0.035288,6.818150645976847e-15,0.0030707,5,0.960189944043741,0.2584696405454559,0.35211522433317144,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
3.784671231051635e6,0.0383814,0,0.001,cholesky,186,quadratic_stacked_beta,0.035288,6.7445988651926755e-15,0.0030934,5,0.959744117780727,0.2590385785829992,0.3526680305946913,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
2.016799977052115e6,0.0383937,0,0.01,cholesky,186,quadratic_stacked_beta,0.035288,4.2126611107566705e-15,0.0031057,5,0.9704287733123013,0.2665128607995916,0.3597813764866827,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
376094.4789766483,0.0381409,0,0.1,cholesky,186,quadratic_stacked_beta,0.035288,1.4718587540969318e-15,0.0028529,5,0.9978251592600969,0.28710291894186996,0.380773531145697,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
44355.181433816964,0.038229,0,1.0,cholesky,186,quadratic_stacked_beta,0.035288,1.0190294348093824e-15,0.002941,5,0.9919550860648626,0.2924699593963366,0.3852572166578581,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
23899.05590842484,0.0383616,0,2.0,cholesky,186,quadratic_stacked_beta,0.035288,6.957467179462814e-16,0.0030736,5,1.0337433728862504,0.30896225110538084,0.4055783348637568,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
6.218103184685307e6,0.0519778,0,0.0,cholesky,258,quadratic_stacked_beta,0.0410747,1.053636743370662e-14,0.0109031,7,0.9625679836233714,0.25917123604995185,0.3522003415159823,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
6.217244042343191e6,0.0550096,0,1.0e-6,cholesky,258,quadratic_stacked_beta,0.0410747,9.50815682538244e-15,0.0139349,7,0.9625686229310509,0.259171971491482,0.35220138611569346,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
6.133628378718732e6,0.0485427,0,0.0001,cholesky,258,quadratic_stacked_beta,0.0410747,9.874883156542971e-15,0.007468,7,0.9626290879972914,0.2592477209542946,0.35230562560785716,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
5.48228669420724e6,0.0483846,0,0.001,cholesky,258,quadratic_stacked_beta,0.0410747,9.498577016504574e-15,0.0073099,7,0.9629666291762349,0.26010057600444864,0.35330227165549405,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
2.8023913108536373e6,0.0477222,0,0.01,cholesky,258,quadratic_stacked_beta,0.0410747,6.0568949164682e-15,0.0066475,7,0.9744789916924889,0.26842543934633994,0.362233354686754,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
508227.86460540496,0.051128099999999996,0,0.1,cholesky,258,quadratic_stacked_beta,0.0410747,2.3059411528447953e-15,0.0100534,7,1.006701678194751,0.2886278105113893,0.38304410415990736,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
59596.81355080381,0.0475463,0,1.0,cholesky,258,quadratic_stacked_beta,0.0410747,1.026889591767227e-15,0.0064716,7,0.9913094123243701,0.2929906387983502,0.3852767432904194,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
32100.636615018866,0.0476906,0,2.0,cholesky,258,quadratic_stacked_beta,0.0410747,9.634036325230256e-16,0.0066159,7,1.034219107464181,0.3098238354398534,0.4062157297796124,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
1.1122548957283612e7,0.1351236,0,0.0,cholesky,366,quadratic_stacked_beta,0.0566132,1.4917519682775913e-14,0.0785104,10,0.9706083204291249,0.25958704944993394,0.3526371867847071,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
1.1120576215228371e7,0.0801559,0,1.0e-6,cholesky,366,quadratic_stacked_beta,0.0566132,1.2830472758963684e-14,0.0235427,10,0.9706048045040784,0.25958701141146057,0.35263678344080723,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
1.0929353091291873e7,0.07511960000000001,0,0.0001,cholesky,366,quadratic_stacked_beta,0.0566132,1.3834327040436828e-14,0.0185064,10,0.9702652839972576,0.25959005622228615,0.35260205950729345,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
9.489860454535494e6,0.0745099,0,0.001,cholesky,366,quadratic_stacked_beta,0.0566132,1.3814357518488752e-14,0.0178967,10,0.9682844656553241,0.2597418741517993,0.3526296787633326,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
4.364670699822201e6,0.0759583,0,0.01,cholesky,366,quadratic_stacked_beta,0.0566132,7.963299244954259e-15,0.0193451,10,0.9739920979744051,0.26540609207643845,0.35889661296521164,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
738579.2208720167,0.0762447,0,0.1,cholesky,366,quadratic_stacked_beta,0.0566132,3.0045129399401048e-15,0.0196315,10,1.0022083092017728,0.28541121292479893,0.38026475704596957,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
85687.46555676189,0.074882,0,1.0,cholesky,366,quadratic_stacked_beta,0.0566132,1.4650403203608234e-15,0.0182688,10,0.9999179422558897,0.2933525086993383,0.3862418243562335,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
46145.84998471589,0.08089070000000001,0,2.0,cholesky,366,quadratic_stacked_beta,0.0566132,1.1593685307459625e-15,0.0242775,10,1.0430267026739979,0.31159935103589476,0.4085197525627928,adaptive_ridge,,,,,,,,,,,,,,,,,,,,,,,,
,0.0054148,2,0.0,irls+cholesky,42,norm_plus_norm_irls,0.0044874,,0.0001929,1,0.9604043385299735,0.25990764390578114,0.35174926756904373,adaptive_robust_norm,true,iterate_objective_and_strict_stationarity,false,0.0,0.0,4.033481409465495e-16,,,,,,,,,,,,,,,,,,
,0.005396,2,1.0e-6,irls+cholesky,42,norm_plus_norm_irls,0.0044874,,0.00019769999999999998,1,0.9604050447679545,0.25990780010344205,0.35174944697973604,adaptive_robust_norm,true,strict_smoothed_stationarity,false,6.048421353470701e-8,3.197841844119765e-16,4.9108048402243165e-15,,,,,,,,,,,,,,,,,,
,0.0053782,2,0.0001,irls+cholesky,42,norm_plus_norm_irls,0.0044874,,0.0001959,1,0.960474794907986,0.2599232640674714,0.351767277314745,adaptive_robust_norm,true,strict_smoothed_stationarity,false,5.46599823989552e-5,6.847931495145699e-11,4.4684325682079167e-10,,,,,,,,,,,,,,,,,,
,0.0058633999999999995,3,0.001,irls+cholesky,42,norm_plus_norm_irls,0.0044874,,0.0003095,1,0.9610949840451418,0.2600685064432126,0.3519353727130194,adaptive_robust_norm,true,strict_smoothed_stationarity,false,8.841593524062575e-5,1.8654709010219564e-10,7.30530906632479e-9,,,,,,,,,,,,,,,,,,
,0.0072675,6,0.01,irls+cholesky,42,norm_plus_norm_irls,0.0044874,,0.0006129,1,0.9669024212478111,0.26198170050411834,0.3540791174178718,adaptive_robust_norm,true,objective_and_practical_stationarity,false,7.368521430957095e-5,1.814043626449835e-10,6.850584268898586e-8,,,,,,,,,,,,,,,,,,
,0.0082416,8,0.1,irls+cholesky,42,norm_plus_norm_irls,0.0044874,,0.0009094999999999999,1,0.9956771269883138,0.2817303108737502,0.3745469725992407,adaptive_robust_norm,true,objective_and_practical_stationarity,false,9.420791103820429e-6,7.606224140643036e-12,8.965810301032962e-8,,,,,,,,,,,,,,,,,,
,0.013704000000000001,19,1.0,irls+cholesky,42,norm_plus_norm_irls,0.0044874,,0.0023616,1,1.0027471629699973,0.29553771584156197,0.3897991577772478,adaptive_robust_norm,true,objective_and_practical_stationarity,false,1.2966505385535165e-7,4.794791281741401e-14,7.19812402156006e-8,,,,,,,,,,,,,,,,,,
,0.2380181,156,2.0,irls+cholesky,42,norm_plus_norm_irls,0.0044874,,0.023386800000000006,1,1.5197193944755105,0.46372483627301214,0.607610868910735,adaptive_robust_norm,true,objective_and_practical_stationarity,false,1.6884787308109085e-8,2.2032854326935466e-15,9.739604844186827e-8,,,,,,,,,,,,,,,,,,
