,Ridge_Alpha_Beta_ensemble
166,4.0871396010340355
167,3.4139449099949286
168,2.7736240810041624
169,2.147018607742328
170,1.965637252726721
171,2.0459440757855702
172,2.1704689378027138
173,2.002455498519421
174,2.0075495809547053
175,1.8737983707924397
176,1.558820786029343
177,1.6612619146635885
178,1.933344771889715
179,2.424232308383569
180,3.2662447130905785
181,3.550930167398847
182,3.8676377530171213
183,4.0199335765463795
184,4.055382958842363
185,4.103878783154995
186,3.9847518195816467
187,4.318450857356543
188,3.9319233518837433
189,4.1061259028021215
190,3.667300247808135
191,2.831784347918586
192,1.6388698551706844
193,1.7486541887299216
194,2.1025942347048305
195,2.1252581565814435
196,2.309516867937111
197,2.2295262384709664
198,1.9478880881367675
199,1.3826175508979053
200,1.182786888364498
201,1.669521933336584
202,2.595620335345421
203,3.20650663258599
204,3.5343416898102475
205,4.011652786477563
206,4.115704368773277
207,4.124220892924769
208,4.017022659760519
209,3.968658161400339
210,4.264540598978996
211,4.289495574839875
212,4.185328380390765
213,3.9271141341675357
214,3.706977674769049
215,2.985026397237179
216,2.0958801335133694
217,1.462604862542033
218,1.464397690611832
219,1.6857928407071516
220,2.261137373060243
221,2.2790681888486586
222,2.154568313178972
223,1.68117066879085
224,1.1592232693414188
225,1.8038188795983034
226,2.2004041132655434
227,2.9881626966996864
228,3.213823440438291
229,3.4628202232558536
230,3.389276976516029
231,3.3488421840348512
232,3.426460867486622
233,3.824650039129461
234,4.268347558247311
235,4.202794470657479
236,4.280465117248239
237,4.064717655720334
238,3.691570599370531
239,2.9336742585319966
240,2.1237437527764946
241,1.994078397089287
242,1.710836024580774
243,1.7432962336879894
244,2.187013509488737
245,2.4856309458725203
246,2.4294338099764103
247,1.974466439065076
248,1.8599760355271115
249,2.2441839597163806
250,3.0121881349818254
251,3.4388799453824803
252,4.012867463080607
253,3.8751933951814626
254,4.078988661313024
255,4.11238447142461
256,4.073322463272248
257,4.32389378775458
258,4.268485105124459
259,3.7658758588301104
260,3.96435953248785
261,3.777995788692563
262,3.591275872449685
263,2.954126324567641
264,2.921287038753725
265,3.097415795724077
266,2.9763355079499068
267,3.3341326015875348
268,3.388623975698113
269,3.5636288734743946
270,3.5642330505334194
271,3.3810069902454165
272,3.132274941826394
273,3.409053185698965
274,3.86815669084443
275,4.199488651023169
276,4.4218197174209255
277,4.643154138538248
278,4.674660028658099
279,4.469114934859011
280,4.352584151247942
281,4.35440477264793
282,4.023866061554896
283,3.870254649053552
284,3.5379432200357326
285,3.967284124972892
286,3.6141764732560056
287,2.9965310263166387
288,2.2189966068283855
289,1.5079436114796485
290,1.5976918665305975
291,2.191486947508967
292,2.0181049340722037
293,2.140643134381227
294,1.7969478454000094
295,1.6077643046683603
296,1.2365872048859718
297,1.3234605183427715
298,1.6767427477547285
299,2.1766732599279544
300,2.7871765192641726
301,2.8118495712931355
302,2.767660031856193
303,3.0986387521706256
304,3.2260674005729992
305,3.4846108516317944
306,3.474855707624316
307,3.5858937893512137
308,3.8334021093962254
309,3.7601408588063867
310,3.421266329155712
311,2.8168998277526645
312,1.9888004481452222
313,1.540144983344841
314,1.768444711184479
315,2.345306494140473
316,2.1759311720506607
317,2.2554222130868857
318,2.163978471694661
319,1.643595313006181
320,1.8414501113806068
321,2.5138128102998314
322,3.0396443384792184
323,3.6978816299835917
324,4.106315757405129
325,4.195062723402576
326,4.487530043202911
327,4.359995827866532
328,3.9783072816826928
329,3.8873484626255577
330,3.8521821476390365
331,4.093318496179807
332,4.175265875298031
333,4.140325779291375
334,3.4710398884392926
335,2.6018432515385195
336,2.2952333285747684
337,2.074892255977078
338,1.6944366008180445
339,1.8276652959019697
340,2.1993572827842756
341,2.2724927243800828
342,2.3558019308440232
343,2.319867622186422
344,2.40210336326779
345,2.6659647378206586
346,3.2906766686808355
347,3.959739158900466
348,3.9153100447840457
349,3.587791584832785
350,3.7395736749889763
351,3.727960591476713
352,3.927642542567892
353,3.8529867742182224
354,3.7993197983892935
355,3.9828156032010136
356,3.642100791076205
357,3.4047356570963627
358,2.955547859218752
359,1.834048138044002
360,1.285639662229717
361,1.8478704504896895
362,2.2122139838615373
363,2.1662489516943766
364,2.436863829224909
365,2.29858119729077
366,2.366767381669133
367,1.8926161761923375
368,1.7525696771688215
369,1.6853774346815062
370,1.9983836043982146
371,2.6730912028007556
372,2.834108263020239
373,2.9388023701536237
374,3.2433467557906193
375,3.5697077898621403
376,3.5540585078822446
377,3.647736538380977
378,3.8590760611179498
379,3.908473209487021
380,4.046540191440947
381,3.917992087048842
382,3.3669676860531172
383,2.5091736618337928
384,2.5504227544438707
385,3.0085869471292335
386,3.0171452278260698
387,3.188784307330023
388,3.197927945646227
389,2.7126604200779982
390,2.46559254462175
391,2.249735376975733
392,2.210387863694111
393,2.525157696125484
394,2.5804528055218885
395,2.614778197007011
396,2.315725805804858
397,1.8860164479046924
398,1.9845736027001966
399,1.81704589565115
400,2.048282130198755
401,1.923464440225228
402,2.323807506826821
403,2.337897594057912
404,2.3571651668558165
405,2.3208121187021966
406,2.212224026174392
407,1.8808527312471506
408,1.5683178135456277
409,1.6182036975376246
410,2.381027881993029
411,3.01426921496252
412,3.3880661664328486
413,3.4232843481154225
414,3.1463280837200647
415,2.552624649298438
416,2.2092285223025128
417,2.113415309083197
418,2.301443021703122
419,2.339860230626876
420,2.807060617724329
421,2.8982095680990008
422,2.9813738726761168
423,3.502507092100835
424,3.401154532087729
425,3.3531104154100952
426,3.4010588541411018
427,3.667441161723289
428,3.223727619941541
429,3.4977164714957296
430,4.103581316620626
431,3.857764267600692
432,3.379036604461719
433,3.219922575628798
434,3.1973934424844264
435,3.673666179741913
436,4.328166461715559
437,4.795167332808929
438,4.629832679461712
439,3.9345971835158866
440,3.333113756819154
441,2.9996310798441628
442,2.8774816858154986
443,2.8372747377149836
444,3.075332474473761
445,3.1641605612853994
446,3.201869941696114
447,3.3327815840352035
448,3.454566967124377
449,3.625497240177879
450,3.835735310252528
451,4.072492034898241
452,4.131734174039503
453,3.9647816304554886
454,4.103783813121012
455,4.087012624272032
456,4.158337019145227
457,4.981561553415662
458,4.938719109154541
459,4.7143768772509205
460,4.664913736101757
461,4.638926546049117
462,4.686006859644124
463,4.948334728152956
464,4.946644085240053
465,4.3848513785060135
466,4.01458113187538
467,4.33880156387137
468,4.135164401295904
