,Ridge_ensemble
212,4.178422760989547
213,3.9353299659993106
214,3.6970865406254303
215,2.9878442979006654
216,2.1688310261333723
217,1.6022550360188075
218,1.5451799479102326
219,1.7562563996812162
220,2.2599983528275627
221,2.2774719630173466
222,2.1548501040172816
223,1.75914747894116
224,1.3541423879524719
225,1.991958704279585
226,2.2938703162436673
227,3.0166117080945316
228,3.276189438798091
229,3.4865122379015805
230,3.3538272488099437
231,3.3059487954182365
232,3.3220417060702325
233,3.773183790758496
234,4.213846855510787
235,4.214756801212212
236,4.273917753393759
237,4.070812725733617
238,3.691575020822157
239,2.9352275702222546
240,2.1842500649054744
241,2.129199575673019
242,1.801072603356602
243,1.7791291683971606
244,2.2313907671398834
245,2.59504366332151
246,2.403699425570063
247,2.2305081845509944
248,2.108850247939487
249,2.3357608938591476
250,2.9614567605127506
251,3.385090176427937
252,3.955188483941687
253,3.8256432964710934
254,4.019258874374936
255,3.997489349894631
256,3.9672493803670394
257,4.317388228731849
258,4.235593442798157
259,3.722265204340811
260,3.967518359727726
261,3.7606569490790953
262,3.5763682118279534
263,2.877827921070147
264,2.901290334344971
265,3.097849612017822
266,2.9925938395538227
267,3.2990634196363984
268,3.364482712804764
269,3.58869173745786
270,3.605561824268154
271,3.4196445451172885
272,3.149993811555867
273,3.433067496639163
274,3.8710609449636157
275,4.184823578788289
276,4.407770347327014
277,4.5862536703418
278,4.549309771189971
279,4.344864823816838
280,4.276276263161699
281,4.358505265511514
282,4.051349372957661
283,3.863342925756193
284,3.511352337400527
285,3.9667309060564993
286,3.6538957843935775
287,2.993957179149365
288,2.177635298378005
289,1.5025923832037087
290,1.6403109920629766
291,2.15055019287353
292,2.033477660325242
293,2.149589165781998
294,1.9350464338986164
295,1.8088599170994324
296,1.620000432358776
297,1.818708775255002
298,1.8894973872137029
299,2.2867775939610997
300,2.8857516196463964
301,2.7931942851053804
302,2.7087338868188207
303,2.985447020333365
304,3.131531709059577
305,3.4297530299995724
306,3.4726072569502406
307,3.5617397846528425
308,3.8623151203879034
309,3.7848444134719395
310,3.415033993839619
311,2.7288092271397515
312,1.961322037746949
313,1.4203415017281955
314,1.7576965131076454
315,2.365347041447097
316,2.2957889779372826
317,2.3867302294203716
318,2.346592616540998
319,1.8437968863053316
320,1.9550424243263516
321,2.4218110588715627
322,2.9301426855376516
323,3.626256989411108
324,4.101878099465635
325,4.108024489148555
326,4.421843673078076
327,4.263414019312018
328,3.9194715117508037
329,3.8206967185454825
330,3.815966163464682
331,4.037584824232987
332,4.150390535204515
333,4.151610535122527
334,3.4547151424057714
335,2.6136067713808044
336,2.3078705876003287
337,2.1918955295355342
338,1.8534633028279983
339,1.9106731066234275
340,2.2921158454262205
341,2.412805186576998
342,2.552940200582541
343,2.5776716927268932
344,2.7842437820974886
345,2.9107508722248676
346,3.526959540330444
347,4.118758442295591
348,4.0071979825199415
349,3.55919038108268
350,3.659739054853534
351,3.6487101822447268
352,3.8879105715260964
353,3.807272999324653
354,3.771240701349309
355,4.007184499784711
356,3.674206920576896
357,3.4697953378041677
358,3.101784059888093
359,2.005827416990088
360,1.3189310531752545
361,1.9288134696472412
362,2.28263851817584
363,2.233033793439665
364,2.4599766372170664
365,2.363702997671368
366,2.4381119658544717
367,1.971489762036919
368,1.8907128858574713
369,1.785139278883177
370,1.9535562539256834
371,2.613721724539259
372,2.7684499829888702
373,2.7674499421984637
374,3.0984498869419177
375,3.500382230963663
376,3.512320899603249
377,3.628001002188832
378,3.8176104408358347
379,3.865104698497356
380,3.99883719046811
381,3.901930755636596
382,3.3894940255561212
383,2.580674108890456
384,2.5999513598172985
385,3.0761632958141787
386,3.0253795808990223
387,3.176422198933742
388,3.193135387954241
389,2.7752895456911224
390,2.518272305687848
391,2.2497964337911562
392,2.1536783685329466
393,2.4908036062215633
394,2.5898183986150833
395,2.7262740863421313
396,2.4661110819943257
397,2.005475458868887
398,2.102333506545922
399,1.9179391632705252
400,2.1169447440923648
401,2.064930446003567
402,2.4565103324187723
403,2.445101257086117
404,2.434563171675676
405,2.425530388096841
406,2.3487940042153426
407,2.101612382295486
408,1.7920281379665681
409,1.7321015108849687
410,2.4156393697303153
411,3.0196810998268555
412,3.3763968604470564
413,3.480195242004026
414,3.1743502937816395
415,2.6128927908099238
416,2.175488804014571
417,2.0736407920734963
418,2.271616315083309
419,2.3372055562306246
420,2.8195234083871643
421,2.8264402103011754
422,2.90534569604353
423,3.4451839332540155
424,3.4057999478930268
425,3.354187114767617
426,3.4855416358371203
427,3.6997300163109412
428,3.2865576774922145
429,3.491986542395807
430,4.125075573554625
431,3.859876609744711
432,3.3620260999382103
433,3.197814598893145
434,3.165432035074591
435,3.6730134163116666
436,4.361721098106383
437,4.770074044330617
438,4.598509963495607
439,3.9525418806852364
440,3.368431963024035
441,3.073787206682493
442,2.935684963101755
443,2.8863544104170438
444,3.1064982670937944
445,3.1643643711800884
446,3.2041647115147716
447,3.345393294779131
448,3.4469617707977376
449,3.6333214919975347
450,3.84853926238347
451,4.1251442173756665
452,4.175634438981044
453,4.032640764457191
454,4.171277887426267
