,Ridge_Alpha_Beta_Full_ensemble
368,1.733175809317155
369,1.679336264657611
370,1.989911455685559
371,2.6633041502464
372,2.8350310982426143
373,2.943478262798236
374,3.241717944395998
375,3.5592974892294316
376,3.5492705501937705
377,3.6426092065062123
378,3.8614039937463396
379,3.9147647767521017
380,4.050844193655772
381,3.926307709719777
382,3.366805240649074
383,2.501409853246048
384,2.553049805212987
385,3.013283836239501
386,3.0241710548211413
387,3.2127598904415784
388,3.2202187824952215
389,2.735414027064341
390,2.488463614402091
391,2.2669124812773296
392,2.2153292806222495
393,2.520735186593124
394,2.5738823991049387
395,2.615147100692767
396,2.3210037612116796
397,1.8804636856167605
398,1.9764558549530227
399,1.8067463591954254
400,2.0456787115604027
401,1.9230698829229727
402,2.3157941421182
403,2.3369666241704414
404,2.3576175734849203
405,2.3210224219217284
406,2.208116050747875
407,1.8766778426209418
408,1.549882785090721
409,1.5945077584794627
410,2.385064643246736
411,3.027154464056019
412,3.3984090165841545
413,3.4413819964333903
414,3.15101753547623
415,2.5470718263238603
416,2.200539661746463
417,2.1082823444843344
418,2.2977993458653034
419,2.3399470503588433
420,2.8162847515580602
421,2.904152338230222
422,2.9804806705361173
423,3.50498275300396
424,3.4053422562466698
425,3.353051437318163
426,3.4143657747978273
427,3.675787799496633
428,3.244371986935913
429,3.517953499384042
430,4.116229769171471
431,3.858302940449011
432,3.3820656561601523
433,3.2224894758725373
434,3.2022069611817554
435,3.687385260845041
436,4.326595040299118
437,4.795545314171916
438,4.635943657796203
439,3.9270329439678973
440,3.3307287315040113
441,3.008940141709542
442,2.8902771944375023
443,2.8582545675108384
444,3.0951710033720077
445,3.1689045344728446
446,3.2033897950972814
447,3.3284809395470547
448,3.4556141958111457
449,3.6316414797577776
450,3.8348718727748534
451,4.073915075416688
452,4.1285740380092495
453,3.9671595860121855
454,4.098790528434426
455,4.0827088030561125
456,4.151847117725163
457,4.972595540191159
458,4.932459087807635
459,4.712906588186883
460,4.654050757714087
461,4.641035367021042
462,4.683268238422686
463,4.940767781961358
464,4.949737358628805
465,4.387779170309427
466,4.02169150243221
467,4.331188625553788
468,4.151273622384158
469,4.3248469306594854
470,4.90265501787613
471,4.8101834914400445
472,4.835481500513477
473,4.848090951522344
474,4.8247465536224
475,4.684074499580023
476,4.720136944482969
477,4.51640650495024
478,4.313149985255025
479,4.476290022763853
480,4.506748620084071
481,5.143136017518997
482,5.0332726801566565
483,4.575692567274622
484,4.189352714975501
485,3.91122455751747
486,3.9158609537033406
487,3.7513691220279446
488,3.5117665404072067
489,3.4199101276299757
490,3.6007336992334054
491,4.02564073515167
492,4.538024208205413
493,4.142581896049744
494,3.8718400806805673
495,4.137111786441055
496,4.4909448875481495
497,4.347054316709311
498,4.109994369958762
499,4.073395356149276
500,3.8102168961541794
501,3.55402978315618
502,3.025889261307664
503,2.1647521666266423
504,1.170454765252552
505,2.138756630462115
506,2.299008024300343
507,2.7351838943120796
508,2.9183065716517333
509,2.7519189400589563
510,2.4235942652024995
511,2.45427320578822
512,2.6086518890072017
513,2.099299470372914
514,2.691975355235447
515,2.8441978794196623
516,3.178836355891337
517,3.3538259401869617
518,3.448377617257158
519,3.3606231374288096
520,3.465577201979971
521,2.8232914122043926
522,3.045915388271333
523,3.2907362925537593
524,3.444595874119298
525,3.2543010458557977
526,2.8127564568026737
527,2.186706285013598
528,2.042645905051359
529,2.299555006146394
530,2.5547138261461324
531,3.4782901617029593
532,3.6548376547156205
533,3.44561841357737
534,2.975086415258941
535,2.6674074497539544
536,2.359682514377629
537,2.2719552776525704
538,2.896313655744551
539,2.951328389528664
540,2.872557268919292
541,3.3089578614416637
542,3.480398966063336
543,3.611460202712009
544,3.8067506070635693
545,3.985823209166519
546,4.2456746035398645
547,4.412715623539041
548,4.301963735670171
549,4.011719197675843
550,3.943263988940446
551,3.7581843432762967
552,3.868640586809102
553,3.8603786955485235
554,3.393185262958878
555,3.2049527572568435
556,3.345279962792111
557,3.78887441971191
558,3.8762669780897148
559,3.4465373046967316
560,3.16337146318213
561,3.102490365539845
562,3.375559635164706
563,3.754790173341155
564,3.7673411577654288
565,3.869107595188122
566,3.9886671344024225
567,4.289682733260537
568,3.9299161856436307
569,3.8896732375098613
570,3.885769944223309
571,4.353762944945427
572,4.546538470634732
573,4.504971929056069
574,4.331906620627524
575,3.6437050200987646
576,2.7379154304638122
577,1.9397612563410938
578,2.240440394790396
579,3.1491393656518696
580,3.1243314064172094
581,3.6146425079369404
582,3.80378736955563
583,3.2968899271027783
584,2.9555885990703996
585,2.575490967502529
586,2.7198247489545646
587,2.819667506712627
588,3.190012672804332
589,3.4414224105652513
590,3.950458070184704
591,3.8276762304815
592,3.568467136550342
593,3.772042884150126
594,3.8669933622329062
595,4.065846477615517
596,3.9504242578225526
597,3.873551449131282
598,3.8851465013787987
599,3.7331697217477466
600,3.7528037941696644
601,3.812141838801034
602,3.647245083170885
603,3.8017197014967095
604,4.1851413584829205
605,4.43778801788253
606,4.182801797663772
607,3.4082996867707758
608,3.242599733396942
609,3.3758968197183608
610,3.63029657516061
611,3.838540195728987
612,4.127752831127329
613,4.408282560838539
614,4.7066591479764
615,4.858549072824286
616,4.358705080368286
617,3.7384048472101115
618,3.934659272091928
619,4.0551898505342745
620,4.2658943522383455
621,4.423466462735258
622,4.405628693754755
623,4.289185131163468
624,3.604780024049356
625,3.2536811241205013
626,3.0705615200731398
627,3.0968345872789045
628,3.1292554114302145
629,3.0914369574307807
630,2.9486209555852874
631,3.011450663575918
632,3.1721142234307793
633,3.3035887021264365
634,3.8173870392887133
635,4.255967418939756
636,4.863322633015506
637,4.715068003993966
638,4.1784970462757665
639,4.553413293381997
640,4.505480282273404
641,4.58172616144373
642,4.496135335794627
643,4.914673952428431
644,4.898899123845081
645,4.588273615920478
646,4.724738741337956
647,5.0895093614108164
648,5.350250063491824
649,4.802002409063667
650,4.285670727651783
651,4.4817249206130505
652,4.608975086689519
653,4.929843463382297
654,5.198426252339787
655,4.619548275730911
656,4.623835887896912
657,4.447628641796698
658,4.631933296093606
659,4.8209731521874515
660,4.936473056542869
661,4.799250024131557
662,4.731751700054265
663,4.687873186987453
664,4.233824550610868
665,3.8333843199610613
666,4.084196084757137
667,4.632667202083076
668,4.923793163665765
669,5.253774440730567
670,5.491800300938104
671,5.537379463465113
672,5.807771905012547
673,5.822960225226995
674,5.415305658142259
675,5.071263111085384
676,5.12482048062519
677,5.523596664275662
678,5.806713881754541
679,5.633522719589158
680,5.294673021557639
681,4.859209341780954
682,4.604040837008627
683,4.569028884793883
684,4.379539811177191
685,3.945020163633922
686,3.8761764790270408
687,3.7667492638006634
688,3.8721128376485687
689,3.9103608527403195
690,3.983256987894257
691,3.995168815680829
692,4.056506166959208
693,3.968022217286915
694,3.7946740359702487
695,4.443704673126359
696,4.945510402232033
697,5.174576841327584
698,5.151440798367997
699,5.552157101263793
700,5.949525497040294
701,5.572746833427101
702,5.134825446812303
703,4.526497711117694
704,4.124349580330919
705,3.51903635572587
706,3.3612332614755487
707,3.249857492139298
